chain,lag,r,ci_lo,ci_hi,n,p,p_lag_search,status,block_length,start_year,end_year,n_shifts,q_all_lags,family_size
Interstate (basileia) → Famine deaths,3,0.0731261105757091,-0.10906490750385944,0.28689238759753727,121,0.6693548387096774,1.0,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Interstate (basileia) → Famine deaths,4,-0.056340570928353324,-0.25915858733392944,0.21656847814536587,120,0.7419354838709677,1.0,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Interstate (basileia) → Famine deaths,5,-0.0772631237437387,-0.25088817843872624,0.1781086390412132,119,0.6532258064516129,1.0,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Interstate (basileia) → Famine deaths,6,-0.1206771610166528,-0.2902143746510404,0.08280340241720681,118,0.47580645161290325,0.9032258064516129,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Interstate (basileia) → Famine deaths,7,-0.18336181693919934,-0.3844693368592362,0.01722135982435665,117,0.27419354838709675,0.8629032258064516,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Interstate (basileia) → Famine deaths,8,-0.2046186875813805,-0.41641161795069703,0.023720237484663547,116,0.1935483870967742,0.7580645161290323,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Interstate (basileia) → Famine deaths,9,-0.24819974354003804,-0.4988972495564971,-0.016534959093295446,115,0.0967741935483871,0.4596774193548387,exploratory,5.0,1900.0,2023.0,123.0,0.9086021505376345,104
Interstate (basileia) → Famine deaths,10,-0.257094372907975,-0.49426553085189884,-0.007749757312952963,114,0.08064516129032258,0.45161290322580644,exploratory,5.0,1900.0,2023.0,123.0,0.8455284552845528,104
Intrastate (ethnos) → Famine deaths,-2,0.01432624552469543,-0.24863618361814013,0.24082641613865924,122,0.9435483870967742,1.0,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Intrastate (ethnos) → Famine deaths,-1,0.1954536709486064,-0.058137877361527576,0.387856858533028,123,0.07258064516129033,0.4274193548387097,exploratory,5.0,1900.0,2023.0,123.0,0.8455284552845528,104
Intrastate (ethnos) → Famine deaths,0,0.30629124667357976,0.02017800016708802,0.512639082766707,124,0.024193548387096774,0.13709677419354838,exploratory,5.0,1900.0,2023.0,123.0,0.5032258064516129,104
Intrastate (ethnos) → Famine deaths,1,0.2711735571521146,-0.024908486720002964,0.4987060922638187,123,0.04032258064516129,0.2661290322580645,exploratory,5.0,1900.0,2023.0,123.0,0.6989247311827956,104
Intrastate (ethnos) → Famine deaths,2,0.1384131821845696,-0.119522860110635,0.33936376938963947,122,0.23387096774193547,0.8629032258064516,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Intrastate (ethnos) → Famine deaths,3,0.03861490013137979,-0.1810564234967203,0.2786782606034907,121,0.7903225806451613,1.0,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Intrastate (ethnos) → Famine deaths,4,-0.08234882207394324,-0.3376549082599243,0.2329791653169052,120,0.5645161290322581,1.0,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Intrastate (ethnos) → Famine deaths,5,-0.10534477614386384,-0.33121836387103043,0.18790634768011544,119,0.45161290322580644,1.0,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Intrastate (ethnos) → Famine deaths,6,-0.08744667846317539,-0.3319824473914059,0.20922593944932066,118,0.5483870967741935,1.0,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Intrastate (ethnos) → Famine deaths,7,-0.109581397154561,-0.3491844377675093,0.17721787097800581,117,0.41935483870967744,1.0,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Intrastate (ethnos) → Famine deaths,8,-0.12552770724252232,-0.3933992139170158,0.1690674850707445,116,0.33064516129032256,0.9758064516129032,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Intrastate (ethnos) → Famine deaths,9,-0.12842107046434145,-0.3538038677366095,0.14110554068092557,115,0.3064516129032258,0.9112903225806451,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Intrastate (ethnos) → Famine deaths,10,-0.13931043935230716,-0.3537172246082529,0.07776923790089846,114,0.25806451612903225,0.8629032258064516,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
War (combined) → Refugees,-2,-0.06962325905325956,-0.2982364995804295,0.1838764505073913,77,0.7341772151898734,1.0,exploratory,5.0,1947.0,2025.0,78.0,1.0,104
War (combined) → Refugees,-1,-0.09190853251688157,-0.41437096345317503,0.23708705864432617,78,0.6708860759493671,1.0,exploratory,5.0,1947.0,2025.0,78.0,1.0,104
War (combined) → Refugees,0,0.2670356742946432,0.010095174580152274,0.5342441628713802,79,0.13924050632911392,0.6582278481012658,exploratory,5.0,1947.0,2025.0,78.0,0.9654008438818564,104
War (combined) → Refugees,1,0.20528276697812975,0.0019629794567391627,0.3810208701849,78,0.2911392405063291,0.8734177215189873,exploratory,5.0,1947.0,2025.0,78.0,1.0,104
War (combined) → Refugees,2,0.11643678958845806,-0.10683113944167466,0.33177304579431705,77,0.5822784810126582,1.0,exploratory,5.0,1947.0,2025.0,78.0,1.0,104
War (combined) → Refugees,3,0.045630583226912665,-0.2226610673840517,0.307432924267467,76,0.8481012658227848,1.0,exploratory,5.0,1947.0,2025.0,78.0,1.0,104
War (combined) → Refugees,4,0.19546407221379086,-0.0685580837191186,0.4244916242229116,75,0.2911392405063291,0.8734177215189873,exploratory,5.0,1947.0,2025.0,78.0,1.0,104
War (combined) → Refugees,5,0.11477122409377098,-0.19497769139901241,0.367791881235387,74,0.569620253164557,1.0,exploratory,5.0,1947.0,2025.0,78.0,1.0,104
War (combined) → Refugees,6,0.19735090814055728,-0.05519662274876553,0.4244746506331909,73,0.2911392405063291,0.8734177215189873,exploratory,5.0,1947.0,2025.0,78.0,1.0,104
War (combined) → Refugees,7,0.1455470289614855,-0.21131741962321263,0.4159925377823284,72,0.45569620253164556,1.0,exploratory,5.0,1947.0,2025.0,78.0,1.0,104
War (combined) → Refugees,8,0.08617169522471962,-0.2852722532548318,0.39703345362900117,71,0.6455696202531646,1.0,exploratory,5.0,1947.0,2025.0,78.0,1.0,104
War (combined) → Refugees,9,0.27595780108732115,-0.01814334193400869,0.519146579272792,70,0.13924050632911392,0.5189873417721519,exploratory,5.0,1947.0,2025.0,78.0,0.9654008438818564,104
War (combined) → Refugees,10,0.22850384687031897,-0.024204651967429054,0.4399729459083775,69,0.22784810126582278,0.7215189873417721,exploratory,5.0,1947.0,2025.0,78.0,1.0,104
Intrastate (ethnos) → Refugees,-2,-0.22906491731847836,-0.5116910593249895,0.06442955469622993,77,0.11392405063291139,0.5822784810126582,exploratory,5.0,1947.0,2025.0,78.0,0.9113924050632911,104
Intrastate (ethnos) → Refugees,-1,-0.27438892108307583,-0.552264319020392,0.1287841434377885,78,0.012658227848101266,0.17721518987341772,exploratory,5.0,1947.0,2025.0,78.0,0.5032258064516129,104
Intrastate (ethnos) → Refugees,0,-0.1863334676621321,-0.6048158539277194,0.3402016529560697,79,0.16455696202531644,0.7215189873417721,exploratory,5.0,1947.0,2025.0,78.0,1.0,104
Intrastate (ethnos) → Refugees,1,-0.050446287008356544,-0.3335950695142358,0.32653236359958754,78,0.7468354430379747,1.0,exploratory,5.0,1947.0,2025.0,78.0,1.0,104
Intrastate (ethnos) → Refugees,2,0.0513582807421942,-0.2057389558975263,0.35391247578122254,77,0.7215189873417721,1.0,exploratory,5.0,1947.0,2025.0,78.0,1.0,104
Intrastate (ethnos) → Refugees,3,0.08858854152237848,-0.2084047730646302,0.4074583895748994,76,0.5949367088607594,1.0,exploratory,5.0,1947.0,2025.0,78.0,1.0,104
Intrastate (ethnos) → Refugees,4,-0.019576131649726766,-0.4341136160395818,0.4823152169065333,75,0.8987341772151899,1.0,exploratory,5.0,1947.0,2025.0,78.0,1.0,104
Intrastate (ethnos) → Refugees,5,-0.09324072848200302,-0.48451492299400956,0.3163400954488856,74,0.569620253164557,0.9620253164556962,exploratory,5.0,1947.0,2025.0,78.0,1.0,104
Intrastate (ethnos) → Refugees,6,-0.1418218662977304,-0.4253122613961761,0.24509477800351268,73,0.3291139240506329,0.9493670886075949,exploratory,5.0,1947.0,2025.0,78.0,1.0,104
Intrastate (ethnos) → Refugees,7,-0.13247316461909425,-0.3574863574938465,0.11636820178855788,72,0.379746835443038,0.9493670886075949,exploratory,5.0,1947.0,2025.0,78.0,1.0,104
Intrastate (ethnos) → Refugees,8,0.08331005719723851,-0.1414427363601445,0.2987961589219129,71,0.6455696202531646,1.0,exploratory,5.0,1947.0,2025.0,78.0,1.0,104
Intrastate (ethnos) → Refugees,9,0.09345971860078792,-0.1678987695549859,0.3807161343216848,70,0.5949367088607594,0.9620253164556962,exploratory,5.0,1947.0,2025.0,78.0,1.0,104
Intrastate (ethnos) → Refugees,10,0.18491554100515648,-0.06397081126169686,0.46219870543789404,69,0.17721518987341772,0.7215189873417721,exploratory,5.0,1947.0,2025.0,78.0,1.0,104
Volcano (VEI≥5) → Famine deaths,-2,-0.0491069496011523,-0.23993603264520147,0.10250025289209298,121,0.6178861788617886,1.0,exploratory,5.0,1900.0,2022.0,122.0,1.0,104
Volcano (VEI≥5) → Famine deaths,-1,-0.008472795097454957,-0.15620443777603477,0.1063877105796478,122,0.943089430894309,1.0,exploratory,5.0,1900.0,2022.0,122.0,1.0,104
Volcano (VEI≥5) → Famine deaths,0,-0.00832561406653096,-0.20149386514813986,0.12543917275389083,123,0.983739837398374,1.0,exploratory,5.0,1900.0,2022.0,122.0,1.0,104
Volcano (VEI≥5) → Famine deaths,1,0.00328677325223804,-0.15620317686842813,0.1219624658578204,122,0.983739837398374,1.0,exploratory,5.0,1900.0,2022.0,122.0,1.0,104
Volcano (VEI≥5) → Famine deaths,2,0.06534008510015124,-0.08035780304737844,0.1807972913398306,121,0.45528455284552843,1.0,exploratory,5.0,1900.0,2022.0,122.0,1.0,104
Volcano (VEI≥5) → Famine deaths,3,0.14339882032706608,0.06224092377161633,0.23171112821820794,120,0.08130081300813008,0.5691056910569106,exploratory,5.0,1900.0,2022.0,122.0,0.8455284552845528,104
Volcano (VEI≥5) → Famine deaths,4,0.0757368988041601,-0.07797144527487201,0.18686150810256524,119,0.37398373983739835,1.0,exploratory,5.0,1900.0,2022.0,122.0,1.0,104
Volcano (VEI≥5) → Famine deaths,5,0.0913236706085756,-0.04961082712797431,0.2046149479852497,118,0.25203252032520324,0.9349593495934959,exploratory,5.0,1900.0,2022.0,122.0,1.0,104
Volcano (VEI≥5) → Famine deaths,6,0.01999438816136733,-0.15019877178797306,0.1572906975007172,117,0.8211382113821138,1.0,exploratory,5.0,1900.0,2022.0,122.0,1.0,104
Volcano (VEI≥5) → Famine deaths,7,-0.07127100214563113,-0.23297751565788652,0.05908289245456618,116,0.4146341463414634,1.0,exploratory,5.0,1900.0,2022.0,122.0,1.0,104
Volcano (VEI≥5) → Famine deaths,8,0.02037293114185873,-0.10298626557501378,0.11467236128736978,115,0.8211382113821138,1.0,exploratory,5.0,1900.0,2022.0,122.0,1.0,104
Volcano (VEI≥5) → Famine deaths,9,0.029705112654726293,-0.09689675640137166,0.13485030115382649,114,0.7642276422764228,1.0,exploratory,5.0,1900.0,2022.0,122.0,1.0,104
Volcano (VEI≥5) → Famine deaths,10,0.03630943557768566,-0.09655048710543146,0.1445331305718751,113,0.6747967479674797,1.0,exploratory,5.0,1900.0,2022.0,122.0,1.0,104
Economic crisis → Coups,-2,-0.06901908229244684,-0.27360672303990885,0.169520313938711,72,0.4594594594594595,1.0,exploratory,5.0,1950.0,2023.0,73.0,1.0,104
Economic crisis → Coups,-1,0.031481325346368313,-0.17360269680574117,0.24304568186549766,73,0.7972972972972973,1.0,exploratory,5.0,1950.0,2023.0,73.0,1.0,104
Economic crisis → Coups,0,-0.041497278351242846,-0.31127296555618555,0.21805676013584682,74,0.6351351351351351,1.0,exploratory,5.0,1950.0,2023.0,73.0,1.0,104
Economic crisis → Coups,1,0.1780427096211261,-0.06212671275955232,0.38298760540875565,73,0.14864864864864866,0.7837837837837838,exploratory,5.0,1950.0,2023.0,73.0,0.9662162162162162,104
Economic crisis → Coups,2,0.06101289574584101,-0.16785368405040854,0.32286186368267633,72,0.5,1.0,exploratory,5.0,1950.0,2023.0,73.0,1.0,104
Economic crisis → Coups,3,0.05337260903338009,-0.2091043363799225,0.2876646665429339,71,0.6486486486486487,1.0,exploratory,5.0,1950.0,2023.0,73.0,1.0,104
Economic crisis → Coups,4,-0.0840911862277091,-0.2601322709432982,0.13006151970477053,70,0.43243243243243246,0.972972972972973,exploratory,5.0,1950.0,2023.0,73.0,1.0,104
Economic crisis → Coups,5,-0.04718723002695675,-0.2882005865171697,0.2130464673088837,69,0.6621621621621622,1.0,exploratory,5.0,1950.0,2023.0,73.0,1.0,104
Economic crisis → Coups,6,-0.0354399963605957,-0.24790115059509338,0.1628845929595468,68,0.7027027027027027,1.0,exploratory,5.0,1950.0,2023.0,73.0,1.0,104
Economic crisis → Coups,7,-0.014325124760368096,-0.3132972308179132,0.2997198511744483,67,0.8648648648648649,1.0,exploratory,5.0,1950.0,2023.0,73.0,1.0,104
Economic crisis → Coups,8,-0.23777973823105503,-0.38751606225898966,-0.06827252094378955,66,0.05405405405405406,0.5675675675675675,exploratory,5.0,1950.0,2023.0,73.0,0.8030888030888031,104
Economic crisis → Coups,9,0.028612408025723242,-0.20872690687307252,0.2935306398565697,65,0.7567567567567568,1.0,exploratory,5.0,1950.0,2023.0,73.0,1.0,104
Economic crisis → Coups,10,0.03428048054449954,-0.18140252874740492,0.24654654901382242,64,0.7432432432432432,1.0,exploratory,4.0,1950.0,2023.0,73.0,1.0,104
Economic crisis → Intrastate war,-2,0.04740246665372999,-0.08327129635400952,0.1650247315984665,122,0.5806451612903226,1.0,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Economic crisis → Intrastate war,-1,0.027219348741382956,-0.09427064105272646,0.14303942879101667,123,0.7580645161290323,1.0,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Economic crisis → Intrastate war,0,0.017941567723657313,-0.1148406533771535,0.15678772367520447,124,0.8387096774193549,1.0,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Economic crisis → Intrastate war,1,-0.10124409659856819,-0.20716083639341484,0.012332246506903776,123,0.24193548387096775,0.9112903225806451,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Economic crisis → Intrastate war,2,-0.030148882431804337,-0.15312791945350482,0.11515070551744357,122,0.7661290322580645,1.0,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Economic crisis → Intrastate war,3,0.04279538159079747,-0.0882995434077695,0.18453842286319477,121,0.6693548387096774,1.0,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Economic crisis → Intrastate war,4,0.029221885439061797,-0.11638808530903029,0.17695877203565819,120,0.7741935483870968,1.0,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Economic crisis → Intrastate war,5,0.019018938852382115,-0.08575595673733406,0.14587528375866599,119,0.8629032258064516,1.0,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Economic crisis → Intrastate war,6,-0.02651211041954682,-0.14180119339789424,0.08784703583760903,118,0.7741935483870968,1.0,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Economic crisis → Intrastate war,7,0.06012301171519092,-0.07196131204225324,0.1649218943953931,117,0.5,1.0,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Economic crisis → Intrastate war,8,0.04101868291259057,-0.09823853972570233,0.16373199586261863,116,0.7419354838709677,1.0,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Economic crisis → Intrastate war,9,0.02842870575337915,-0.13829801858218874,0.16536600588759695,115,0.8629032258064516,1.0,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
Economic crisis → Intrastate war,10,-0.04514506166173579,-0.17332742259709405,0.09786346902321026,114,0.6935483870967742,1.0,exploratory,5.0,1900.0,2023.0,123.0,1.0,104
